,date,day_name,app,cuenta
495,2016-05-10,2.Tuesday,Twitter,0.0
496,2016-05-11,3.Wednesday,Twitter,0.0
497,2016-05-12,4.Thursday,Twitter,0.0
498,2016-05-13,5.Friday,Twitter,0.0
499,2016-05-14,6.Saturday,Twitter,0.0
500,2016-05-15,7.Sunday,Twitter,0.0
501,2016-05-16,1.Monday,Twitter,0.0
502,2016-05-17,2.Tuesday,Twitter,0.0
503,2016-05-18,3.Wednesday,Twitter,0.0
504,2016-05-19,4.Thursday,Twitter,0.0
505,2016-05-20,5.Friday,Twitter,0.0
506,2016-05-21,6.Saturday,Twitter,0.0
507,2016-05-22,7.Sunday,Twitter,0.0
508,2016-05-23,1.Monday,Twitter,0.0
509,2016-05-24,2.Tuesday,Twitter,0.0
510,2016-05-25,3.Wednesday,Twitter,0.0
511,2016-05-26,4.Thursday,Twitter,0.0
512,2016-05-27,5.Friday,Twitter,0.0
513,2016-05-28,6.Saturday,Twitter,0.0
514,2016-05-29,7.Sunday,Twitter,0.0
515,2016-05-30,1.Monday,Twitter,0.0
516,2016-05-31,2.Tuesday,Twitter,0.0
517,2016-06-01,3.Wednesday,Twitter,0.0
518,2016-06-02,4.Thursday,Twitter,0.0
519,2016-06-03,5.Friday,Twitter,0.0
520,2016-06-04,6.Saturday,Twitter,0.0
521,2016-06-05,7.Sunday,Twitter,0.0
522,2016-06-06,1.Monday,Twitter,0.0
523,2016-06-07,2.Tuesday,Twitter,0.0
524,2016-06-08,3.Wednesday,Twitter,0.0
525,2016-06-09,4.Thursday,Twitter,0.0
526,2016-06-10,5.Friday,Twitter,0.0
527,2016-06-11,6.Saturday,Twitter,0.0
528,2016-06-12,7.Sunday,Twitter,0.0
529,2016-06-13,1.Monday,Twitter,0.0
530,2016-06-14,2.Tuesday,Twitter,0.0
531,2016-06-15,3.Wednesday,Twitter,0.0
532,2016-06-16,4.Thursday,Twitter,0.0
533,2016-06-17,5.Friday,Twitter,0.0
534,2016-06-18,6.Saturday,Twitter,0.0
535,2016-06-19,7.Sunday,Twitter,0.0
536,2016-06-20,1.Monday,Twitter,0.0
537,2016-06-21,2.Tuesday,Twitter,0.0
538,2016-06-22,3.Wednesday,Twitter,0.0
539,2016-06-23,4.Thursday,Twitter,0.0
540,2016-06-24,5.Friday,Twitter,0.0
541,2016-06-25,6.Saturday,Twitter,0.0
542,2016-06-26,7.Sunday,Twitter,0.0
543,2016-06-27,1.Monday,Twitter,0.0
544,2016-06-28,2.Tuesday,Twitter,0.0
545,2016-06-29,3.Wednesday,Twitter,0.0
546,2016-06-30,4.Thursday,Twitter,0.0
547,2016-07-01,5.Friday,Twitter,0.0
548,2016-07-02,6.Saturday,Twitter,0.0
549,2016-07-03,7.Sunday,Twitter,0.0
550,2016-07-04,1.Monday,Twitter,0.0
551,2016-07-05,2.Tuesday,Twitter,0.0
552,2016-07-06,3.Wednesday,Twitter,0.0
553,2016-07-07,4.Thursday,Twitter,0.0
554,2016-07-08,5.Friday,Twitter,0.0
555,2016-07-09,6.Saturday,Twitter,0.0
556,2016-07-10,7.Sunday,Twitter,0.0
